Dataset,Architecture,Optimizer,BatchSize,AvgTrainLoss,AvgValLoss,StdValLoss,Metric,TrainMetric,ValMetric,K
Synthetic,Shallow,GradientDescent_Full (Custom),Full,1.8960852993337312,1.892795494699372,0.2079569013310608,,,,
Synthetic,Shallow,GradientDescent_MiniBatch (Custom),20,0.4266228964497189,0.4340489083503852,0.1230643081145795,,,,
Synthetic,Shallow,SGD (Custom),1,0.0996250244500374,0.0958886439658294,0.0267012137400714,,,,
Synthetic,Shallow,Adam (Custom),Full,0.3203814673191771,0.3212437714687691,0.1192442243783882,,,,
Synthetic,Shallow,RMSProp (Custom),Full,0.1915601116830751,0.1827746960711388,0.0486745150085426,,,,
Synthetic,Shallow,BFGS (Custom),Full,1.7324471915986113,1.7690237455355755,1.796176679556884,,,,
Synthetic,Deep,GradientDescent_Full (Custom),Full,1.3989315275615,1.3744410701224277,0.187834334907482,,,,
Synthetic,Deep,GradientDescent_MiniBatch (Custom),20,0.8111862937311146,0.8054083544244097,0.1625880372454726,,,,
Synthetic,Deep,SGD (Custom),1,0.3147036930098922,0.3191502057446033,0.0572564115741073,,,,
Synthetic,Deep,Adam (Custom),Full,0.7543852685158152,0.804207526090613,0.3461440185063343,,,,
Synthetic,Deep,RMSProp (Custom),Full,0.3518627965998622,0.3484007728532733,0.1358763250402146,,,,
Higham Toy,Shallow,GradientDescent_Full (Custom),Full,0.0978461168696356,0.1517840037296368,0.0448630100369536,,,,
Higham Toy,Shallow,GradientDescent_MiniBatch (Custom),20,0.1194834537603311,0.1370133879249072,0.0405636622140866,,,,
Higham Toy,Shallow,SGD (Custom),1,0.07578536301154,0.1520953335288779,0.0511194101861447,,,,
Higham Toy,Shallow,Adam (Custom),Full,0.060751522607495,0.1684753962158642,0.1405155820242715,,,,
Higham Toy,Shallow,RMSProp (Custom),Full,0.0599412008849515,0.1587135800456403,0.1173983276272062,,,,
Higham Toy,Shallow,BFGS (Custom),Full,0.0455317362587941,0.2944358891949804,0.1602747937112321,,,,
Higham Toy,Deep,GradientDescent_Full (Custom),Full,0.0816935854877541,0.1225184837113062,0.060009116352758,,,,
Higham Toy,Deep,GradientDescent_MiniBatch (Custom),20,0.0990166434282069,0.0997868632617882,0.0274062551338201,,,,
Higham Toy,Deep,SGD (Custom),1,0.0592988218437107,0.2027178994848488,0.2176122944573933,,,,
Higham Toy,Deep,Adam (Custom),Full,0.0135160782794898,0.2336046385112578,0.2567039316356649,,,,
Higham Toy,Deep,RMSProp (Custom),Full,0.0256177235054542,0.1323608365506168,0.0417067361493383,,,,
Kaggle Dataset,Shallow,GradientDescent_Full (Custom),Full,1.1193814346408488,1.1253486333751317,0.05874250205904,,,,
Kaggle Dataset,Shallow,GradientDescent_MiniBatch (Custom),20,0.3043000604049864,0.3517294542405431,0.0312419174599599,,,,
Kaggle Dataset,Shallow,SGD (Custom),1,0.2752397684410584,0.3905693897862871,0.0379867768149714,,,,
Kaggle Dataset,Shallow,Adam (Custom),Full,0.5965332652291785,0.6207882445977164,0.0216436342558731,,,,
Kaggle Dataset,Shallow,RMSProp (Custom),Full,0.6416599617164558,0.6681600592510266,0.0485632422444123,,,,
