Dataset,Architecture,Optimizer,BatchSize,AvgTrainLoss,AvgValLoss,StdValLoss,Metric,TrainMetric,ValMetric,K
Synthetic,"[64, 32, 16]",gradientdescent (TF),1.0,0.012971920520067215,0.012933732755482198,0.005382101116495662,mse,0.012971920520067215,0.012933732755482198,5
Synthetic,"[64, 32, 16]",adam (TF),,0.012513529695570468,0.012789256498217582,0.002774828261120531,mse,0.012513529695570468,0.012789256498217582,5
Synthetic,"[64, 32, 16]",rmsprop (TF),,0.14608057141304015,0.19488344341516495,0.11916090261072101,mse,0.14608057141304015,0.19488344341516495,5
Synthetic,"[64, 32, 16]",adagrad (TF),,0.04331251531839371,0.046530702337622645,0.0185461911679658,mse,0.04331251531839371,0.046530702337622645,5
Higham Toy,[16],gradientdescent (TF),,0.18715108335018157,0.22527052760124205,0.07064548439464641,mse,0.18715108335018157,0.22527052760124205,5
Higham Toy,[16],gradientdescent (TF),20.0,0.18801794201135635,0.2592658907175064,0.07181695144627286,mse,0.18801794201135635,0.2592658907175064,5
Higham Toy,[16],gradientdescent (TF),1.0,0.13855658024549483,0.20738570373505355,0.18940265272169488,mse,0.13855658024549483,0.20738570373505355,5
Higham Toy,[16],adam (TF),,0.12260406166315078,0.26405964270234106,0.162492752389205,mse,0.12260406166315078,0.26405964270234106,5
Higham Toy,[16],rmsprop (TF),,0.12407031804323196,0.24148961901664734,0.15302352219004703,mse,0.12407031804323196,0.24148961901664734,5
Higham Toy,[16],adagrad (TF),,0.17660084664821624,0.17246237769722939,0.082928131787975,mse,0.17660084664821624,0.17246237769722939,5
Higham Toy,"[64, 32, 16]",gradientdescent (TF),,0.15379045605659486,0.18997160494327545,0.07162299538281017,mse,0.15379045605659486,0.18997160494327545,5
Higham Toy,"[64, 32, 16]",gradientdescent (TF),20.0,0.1518981784582138,0.22348474562168122,0.11466616039611546,mse,0.1518981784582138,0.22348474562168122,5
Higham Toy,"[64, 32, 16]",gradientdescent (TF),1.0,0.1474173977971077,0.2170429967343807,0.15034935894085352,mse,0.1474173977971077,0.2170429967343807,5
Higham Toy,"[64, 32, 16]",adam (TF),,0.03304154783254489,0.296121346950531,0.2349796054463908,mse,0.03304154783254489,0.296121346950531,5
Higham Toy,"[64, 32, 16]",rmsprop (TF),,0.07133650481700897,0.19761732518672942,0.14068266330035925,mse,0.07133650481700897,0.19761732518672942,5
Higham Toy,"[64, 32, 16]",adagrad (TF),,0.12680286169052124,0.17803212814033031,0.1381023839104439,mse,0.12680286169052124,0.17803212814033031,5
Kaggle Dataset,[16],gradientdescent (TF),,0.38392030596733095,0.40889592170715333,0.026869329407993425,accuracy,0.8628322601318359,0.8542621612548829,5
Kaggle Dataset,[16],gradientdescent (TF),20.0,0.2918702602386475,0.37498672008514405,0.07300453766442484,accuracy,0.8994958877563477,0.8623281478881836,5
Kaggle Dataset,[16],gradientdescent (TF),1.0,0.2570436179637909,0.37584859132766724,0.08160301703936042,accuracy,0.9052703976631165,0.8711274027824402,5
Kaggle Dataset,[16],adam (TF),,0.19140698611736298,0.2659592509269714,0.04360591636098362,accuracy,0.9287809371948242,0.9088909268379212,5
Kaggle Dataset,[16],rmsprop (TF),,0.20178732872009278,0.34476378560066223,0.0698930788471094,accuracy,0.9271310687065124,0.8845096349716186,5
Kaggle Dataset,[16],adagrad (TF),,0.5033398389816284,0.5292674601078033,0.023308582510416242,accuracy,0.8180109977722168,0.8051329255104065,5
Kaggle Dataset,"[64, 32, 16]",gradientdescent (TF),,0.15159447193145753,0.2605656921863556,0.02582399100441905,accuracy,0.9458295226097106,0.9079743385314941,5
Kaggle Dataset,"[64, 32, 16]",gradientdescent (TF),20.0,0.11200643479824066,0.3467124104499817,0.2144859154275895,accuracy,0.9586617708206177,0.8969752550125122,5
Kaggle Dataset,"[64, 32, 16]",gradientdescent (TF),1.0,0.1422506958246231,0.32003284692764283,0.04232365078159296,accuracy,0.9445921182632446,0.8971585750579834,5
Kaggle Dataset,"[64, 32, 16]",adam (TF),,0.22563379108905793,0.29287636280059814,0.02962799566982797,accuracy,0.9184234738349915,0.898625111579895,5
Kaggle Dataset,"[64, 32, 16]",rmsprop (TF),,0.18252930343151091,0.2928930431604385,0.0631405492744233,accuracy,0.937305235862732,0.9035746932029725,5
Kaggle Dataset,"[64, 32, 16]",adagrad (TF),,0.17255009114742278,0.25571574568748473,0.012922450987665363,accuracy,0.9424839615821838,0.9098075151443481,5
